,Currency,Date,Open,High,Low,Close,Volume,Market.Cap,date
1,0x,11-Feb-18,1.09,1.09,0.934155,0.979054,"4,888,770","555,363,000",11-Feb
2,achain,11-Feb-18,0.403622,0.403622,0.359711,0.373746,"6,950,210","121,087,000",11-Feb
3,adx-net,11-Feb-18,1.48,1.48,1.18,1.22,"18,331,700","89,069,200",11-Feb
4,aelf,11-Feb-18,1.22,1.22,1.11,1.13,"35,072,900","304,540,000",11-Feb
5,aeternity,11-Feb-18,2.76,2.76,2.34,2.5,"7,236,360","643,255,000",11-Feb
6,agoras-tokens,11-Feb-18,2.44,2.44,2.16,2.22,"51,112","102,563,000",11-Feb
7,agoras-tokens,11-Feb-17,0.115207,0.117481,0.110537,0.11057,63,"4,838,690",11-Feb
9,aion,11-Feb-18,2.81,2.95,2.36,2.82,"3,658,390","222,616,000",11-Feb
10,airswap,11-Feb-18,0.614225,0.615283,0.499243,0.533914,"2,768,140","92,133,700",11-Feb
11,amber,11-Feb-18,0.528139,0.53445,0.479865,0.528568,"1,456,600","76,364,100",11-Feb
12,appcoins,11-Feb-18,0.62793,0.635765,0.553891,0.589094,"2,658,030","62,827,100",11-Feb
13,aragon,11-Feb-18,4.36,4.36,3.95,4.15,"261,449","116,216,000",11-Feb
14,ardor,11-Feb-18,0.530615,0.530615,0.460592,0.495093,"15,022,500","530,084,000",11-Feb
15,ardor,11-Feb-17,0.0194,0.021539,0.019211,0.019936,"229,924","19,380,800",11-Feb
16,ark,11-Feb-18,4.14,4.14,3.61,3.83,"2,183,820","416,738,000",11-Feb
17,asch,11-Feb-18,0.949992,0.964079,0.869535,0.887164,"1,377,450","87,963,200",11-Feb
18,augur,11-Feb-18,55.04,56.79,47.99,49.21,"4,904,270","605,459,000",11-Feb
19,augur,11-Feb-17,4.2,4.45,4.17,4.31,"91,268","46,215,100",11-Feb
21,bancor,11-Feb-18,5.16,5.16,4.69,4.89,"4,394,220","209,134,000",11-Feb
22,basic-attention-token,11-Feb-18,0.360629,0.360629,0.32207,0.333647,"2,814,260","360,629,000",11-Feb
23,bibox-token,11-Feb-18,0.871084,0.902249,0.754945,0.863759,"15,949,500","91,684,300",11-Feb
24,binance-coin,11-Feb-18,9.2,9.35,8.14,8.7,"68,554,600","911,015,000",11-Feb
25,bitbay,11-Feb-18,0.076144,0.076144,0.064163,0.068211,"557,538","76,886,800",11-Feb
26,bitbay,11-Feb-17,0.001731,0.001804,0.001671,0.001709,"19,965","1,743,210",11-Feb
27,bitbay,11-Feb-16,0.000206,0.000231,0.000206,0.000231,131,"206,954",11-Feb
28,bitbay,11-Feb-15,0.000112,0.000113,0.0001,0.00011,"1,249","111,656",11-Feb
29,bitcoin-cash,11-Feb-18,1255.59,1306.2,1197.87,1217.64,"651,555,000","21,295,600,000",11-Feb
30,bitcoin-gold,11-Feb-18,129.86,133.75,113.86,123.26,"53,976,000","2,183,780,000",11-Feb
31,bitcoin,11-Feb-18,8616.13,8616.13,7931.1,8129.97,"6,122,190,000","145,245,000,000",11-Feb
32,bitcoin,11-Feb-17,988.9,1009.29,982.83,1004.45,"102,261,000","15,976,700,000",11-Feb
33,bitcoin,11-Feb-16,382.11,383.13,376.4,379.65,"74,375,600","5,806,110,000",11-Feb
34,bitcoin,11-Feb-15,219.73,223.41,218.07,219.19,"17,201,900","3,037,370,000",11-Feb
35,bitcoin,11-Feb-14,683.5,712.46,636.66,672.17,"72,745,200","8,461,320,000",11-Feb
36,bitcoindark,11-Feb-18,109.47,109.47,96.73,97.43,"36,994","141,090,000",11-Feb
37,bitcoindark,11-Feb-17,6.25,6.47,5.63,6.1,"10,768","8,052,810",11-Feb
38,bitcoindark,11-Feb-16,0.820289,0.867787,0.767418,0.807573,"3,979","1,027,450",11-Feb
39,bitcoindark,11-Feb-15,1.04,1.08,0.992442,1.05,"1,859","1,256,740",11-Feb
40,bitcore,11-Feb-18,25.82,27.14,23.97,25.5,"1,492,170","288,421,000",11-Feb
41,bitshares,11-Feb-18,0.247007,0.25246,0.223785,0.236442,"19,805,800","644,312,000",11-Feb
42,bitshares,11-Feb-17,0.003936,0.00408,0.003889,0.004047,"85,146","10,164,200",11-Feb
43,bitshares,11-Feb-16,0.003453,0.003885,0.003443,0.003736,"323,343","8,773,660",11-Feb
44,bitshares,11-Feb-15,0.009072,0.009334,0.008828,0.008951,"150,114","22,676,600",11-Feb
45,blocknet,11-Feb-18,27.86,27.95,25.55,26.35,"45,139","139,549,000",11-Feb
46,blocknet,11-Feb-17,0.048941,0.049907,0.045859,0.045873,35,"191,383",11-Feb
47,blocknet,11-Feb-16,0.064776,0.065228,0.064309,0.064549,677,"253,306",11-Feb
48,blocknet,11-Feb-15,0.026229,0.026306,0.018857,0.024584,20,"262,561",11-Feb
49,blockv,11-Feb-18,0.074024,0.074276,0.06162,0.064927,"1,033,080","110,664,000",11-Feb
50,bluzelle,11-Feb-18,0.608657,0.699236,0.52543,0.639372,"17,564,400","100,428,000",11-Feb
51,bridgecoin,11-Feb-18,3.59,3.59,2.67,3.25,"87,088","97,049,200",11-Feb
52,byteball,11-Feb-18,521.24,521.25,460.04,471.74,"218,959","336,314,000",11-Feb
53,byteball,11-Feb-17,70.41,75.48,50.78,51.24,"92,377","7,040,950",11-Feb
54,bytecoin-bcn,11-Feb-18,0.004666,0.004666,0.004226,0.00435,"3,846,800","857,198,000",11-Feb
55,bytecoin-bcn,11-Feb-17,0.00005,0.000055,0.000048,0.000055,"12,081","9,061,070",11-Feb
56,bytecoin-bcn,11-Feb-16,0.000041,0.000042,0.000037,0.000038,"17,411","7,255,370",11-Feb
57,bytecoin-bcn,11-Feb-15,0.000011,0.000011,0.000009,0.000009,"2,928","1,870,770",11-Feb
58,bytom,11-Feb-18,0.353863,0.371461,0.326838,0.352661,"11,753,200","349,263,000",11-Feb
59,c20,11-Feb-18,2.4,2.4,2.11,2.26,"2,645,990","94,227,800",11-Feb
60,cardano,11-Feb-18,0.405104,0.405196,0.363624,0.369769,"331,944,000","10,503,200,000",11-Feb
61,centra,11-Feb-18,0.904922,0.909844,0.752648,0.829093,"1,599,850","61,534,700",11-Feb
62,chainlink,11-Feb-18,0.419716,0.435649,0.378313,0.416157,"2,544,010","146,901,000",11-Feb
63,cindicator,11-Feb-18,0.178255,0.18362,0.149435,0.162285,"5,332,070","257,752,000",11-Feb
64,civic,11-Feb-18,0.444535,0.444535,0.380936,0.411351,"4,514,080","152,342,000",11-Feb
65,cobinhood,11-Feb-18,0.287527,0.287527,0.21223,0.265252,"2,992","102,983,000",11-Feb
66,coindash,11-Feb-18,0.094692,0.096922,0.080722,0.084576,"7,330,570","61,668,100",11-Feb
67,counterparty,11-Feb-18,28.59,28.62,26.6,27.05,"594,156","74,814,800",11-Feb
68,counterparty,11-Feb-17,3.08,3.21,3.07,3.16,"125,860","8,068,470",11-Feb
69,counterparty,11-Feb-16,0.608928,0.678311,0.57548,0.642446,"10,479","1,600,520",11-Feb
70,counterparty,11-Feb-15,1.15,1.25,1.15,1.2,"13,015","3,049,660",11-Feb
71,cryptonex,11-Feb-18,6.58,6.8,6.18,6.3,"256,794","297,000,000",11-Feb
72,cybermiles,11-Feb-18,0.185272,0.185272,0.162765,0.176229,"5,822,840","82,151,900",11-Feb
73,dash,11-Feb-18,633.43,633.43,561.91,580.02,"81,111,400","4,989,410,000",11-Feb
74,dash,11-Feb-17,16.69,17.22,16.6,17.15,"1,216,530","118,350,000",11-Feb
75,dash,11-Feb-16,3.78,3.91,3.19,3.26,"243,649","23,519,900",11-Feb
76,dash,11-Feb-15,2.48,3.43,2.46,3.23,"774,898","12,679,100",11-Feb
77,decentraland,11-Feb-18,0.114172,0.125073,0.104384,0.117263,"17,143,500","120,000,000",11-Feb
78,decred,11-Feb-18,76.89,76.89,68.9,69.02,"633,865","517,635,000",11-Feb
